state,x,y
Andhra Pradesh,-69.0,-149.0
Arunachal Pradesh,225.0,148.0
Assam,190.0,106.0
Bihar,64.0,78.0
Chhattisgarh,-5.0,-4.0
Goa,-165.0,-133.0
Gujarat,-213.0,25.0
Haryana,-117.0,153.0
Himachal Pradesh,-92.0,213.0
Jharkhand,50.0,40.0
Karnataka,-143.0,-154.0
Kerala,-113.0,-258.0
Madhya Pradesh,-89.0,23.0
Maharashtra,-169.0,-52.0
Manipur,222.0,69.0
Meghalaya,161.0,81.0
Mizoram,204.0,29.0
Nagaland,230.0,100.0
Odisha,37.0,-29.0
Punjab,-140.0,184.0
Rajasthan,-198.0,99.0
Sikkim,114.0,127.0
Tamil Nadu,-66.0,-220.0
Telangana,-80.0,-88.0
Tripura,173.0,44.0
Uttar Pradesh,-61.0,112.0
Uttarakhand,-56.0,170.0
West Bengal,102.0,22.0